Date,PRICE,AGE,SIZE,TERR,DET,CHF,BATH2P,GARAGE,SEMI,FITS,RESI,FITS_1,RESI_1
33,6.50E+04,5.00E+00,9.70E+01,0.00E+00,1.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,59054.8650268649,5945.13497313506,59054.8650268649,5945.13497313506
34,7.20E+04,0.00E+00,1.10E+02,0.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,79508.9786482288,-7508.97864822877,79508.9786482288,-7508.97864822877
35,7.80E+04,0.00E+00,1.03E+02,0.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,77273.9440066852,726.055993314789,77273.9440066852,726.055993314789
36,4.75E+04,2.00E+01,7.50E+01,0.00E+00,1.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,50307.1511701203,-2807.15117012033,50307.1511701203,-2807.15117012033
37,5.20E+04,0.00E+00,7.90E+01,1.00E+00,0.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,46304.0753402339,5695.92465976609,46304.0753402339,5695.92465976609
38,5.80E+04,2.00E+01,1.06E+02,0.00E+00,1.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,60205.1617255275,-2205.16172552752,60205.1617255275,-2205.16172552752
39,7.75E+04,0.00E+00,9.50E+01,0.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,74719.618702064,2780.38129793599,74719.618702064,2780.38129793599
40,4.30E+04,2.00E+01,5.60E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+00,44379.7166065172,-1379.71660651715,44379.7166065172,-1379.71660651715
41,7.10E+04,0.00E+00,9.50E+01,0.00E+00,1.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,77208.6992685174,-6208.69926851742,77208.6992685174,-6208.69926851742
42,8.50E+04,0.00E+00,1.09E+02,0.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,79189.6879851511,5805.31201484888,79189.6879851511,5805.31201484888
43,7.23E+04,0.00E+00,1.26E+02,0.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,84617.6292574712,-12317.6292574712,84617.6292574712,-12317.6292574712
44,7.45E+04,0.00E+00,8.70E+01,0.00E+00,1.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,74654.3739638962,-154.373963896214,74654.3739638962,-154.373963896214
45,9.50E+04,0.00E+00,1.24E+02,0.00E+00,1.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,86468.1284977693,8531.8715022307,86468.1284977693,8531.8715022307
46,8.20E+04,2.30E+01,1.59E+02,0.00E+00,0.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,90161.8057282635,-8161.80572826351,90161.8057282635,-8161.80572826351
47,1.08E+05,0.00E+00,1.16E+02,0.00E+00,1.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,83913.8031931481,24086.1968068519,83913.8031931481,24086.1968068519
48,6.80E+04,4.50E+01,1.18E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+00,61303.5389356044,6696.46106439559,61303.5389356044,6696.46106439559
49,7.70E+04,0.00E+00,1.05E+02,0.00E+00,1.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,80401.6058992939,-3401.60589929394,80401.6058992939,-3401.60589929394
50,8.00E+04,0.00E+00,1.52E+02,0.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,92919.1864974901,-12924.1864974901,92919.1864974901,-12924.1864974901
51,8.45E+04,0.00E+00,1.03E+02,0.00E+00,1.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,79763.0245731386,4736.97542686138,79763.0245731386,4736.97542686138
52,6.50E+04,0.00E+00,1.00E+02,0.00E+00,1.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,78805.1525839057,-13805.1525839057,78805.1525839057,-13805.1525839057
53,5.95E+04,2.90E+01,1.22E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+00,64418.9088082204,-4918.90880822037,64418.9088082204,-4918.90880822037
54,6.40E+04,0.00E+00,7.10E+01,0.00E+00,1.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,69545.7233546538,-5595.72335465379,69545.7233546538,-5595.72335465379
55,7.85E+04,0.00E+00,1.77E+02,0.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,100901.453074431,-22401.4530744314,100901.453074431,-22401.4530744314
56,1.23E+05,9.00E+00,2.14E+02,0.00E+00,1.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,114170.296613336,8329.70338666384,114170.296613336,8329.70338666384
57,6.00E+04,2.40E+01,9.40E+01,0.00E+00,1.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,55914.1219635194,4035.87803648064,55914.1219635194,4035.87803648064
58,7.45E+04,0.00E+00,1.25E+02,0.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,84298.3385943935,-9798.33859439354,84298.3385943935,-9798.33859439354
59,8.25E+04,0.00E+00,1.33E+02,0.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,86852.6638990148,-4352.66389901475,86852.6638990148,-4352.66389901475
60,8.60E+04,0.00E+00,1.49E+02,0.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,91961.3145082572,-5961.31450825717,91961.3145082572,-5961.31450825717
61,5.90E+04,2.50E+01,1.06E+02,0.00E+00,0.00E+00,1.00E+00,0.00E+00,1.00E+00,1.00E+00,57280.7294376009,1719.27056239913,57280.7294376009,1719.27056239913
62,5.45E+04,0.00E+00,8.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+00,54340.4515457625,159.54845423752,54340.4515457625,159.54845423752
63,5.60E+04,2.00E+01,8.50E+01,0.00E+00,1.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,53500.0578008969,2449.94219910316,53500.0578008969,2449.94219910316
64,1.12E+05,0.00E+00,1.20E+02,0.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,82701.8852790053,29298.1147209947,82701.8852790053,29298.1147209947
65,7.60E+04,2.00E+00,1.14E+02,0.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,80556.3653980012,-4556.3653980012,80556.3653980012,-4556.3653980012
